HR_UID,nameid,province,region,analysisTime,dates,compute_time,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointprevalence_pred7d_025,pointprevalence_pred7d_50,pointprevalence_pred7d_975,pointprevalence_pred14d_025,pointprevalence_pred14d_50,pointprevalence_pred14d_975
3555,CanadaOntarioPeterborough,Ontario,Peterborough,2020-12-10 18:24:22.383825,2020-12-10 00:00:00.000000,0:31:41.722040,0.11327729,0.23416605,0.46921580,163,337,676,0.07938166,0.22480984,0.69938009,0.05295068,0.22385117,0.95919343
3556,CanadaOntarioPorcupine,Ontario,Porcupine,2020-12-10 18:21:26.218965,2020-12-10 00:00:00.000000,0:29:39.719818,0.23265258,0.44178017,0.89635982,210,399,811,0.24123176,0.58325296,1.88861010,0.23701080,0.78309031,3.40530328
3557,CanadaOntarioRenfrew,Ontario,Renfrew,2020-12-10 18:23:30.452802,2020-12-10 00:00:00.000000,0:31:49.537512,1.00680209,1.54884630,2.21845984,1073,1650,2364,2.19543361,3.72741483,5.65434494,4.55702003,8.18024436,13.37116045
3560,CanadaOntarioSimcoeMuskoka,Ontario,Simcoe Muskoka,2020-12-10 19:24:44.618271,2020-12-10 00:00:00.000000,1:48:33.088689,2.18902978,3.51401377,4.97889520,12305,19753,27988,3.30462085,5.67945092,8.46207459,4.79370620,8.76897816,13.26439997
3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-12-10 18:17:18.926973,2020-12-10 00:00:00.000000,0:41:17.255685,0.42032903,0.74025964,1.29377151,879,1548,2707,0.39595896,0.84237184,1.66358208,0.33279174,0.92129937,2.21259783
3561,CanadaOntarioSudbury,Ontario,Sudbury,2020-12-10 18:10:13.978833,2020-12-10 00:00:00.000000,0:34:13.241774,0.01927326,0.03673549,0.09646464,39,74,195,0.00896513,0.02203120,0.06409301,0.00420917,0.01349438,0.05606543
3562,CanadaOntarioThunderBay,Ontario,Thunder Bay,2020-12-10 18:29:19.978395,2020-12-10 00:00:00.000000,0:53:21.797585,0.83645127,1.19225056,1.85223707,1291,1841,2860,0.61634597,1.08102455,2.12228455,0.44143127,0.98816106,2.60685475
3563,CanadaOntarioTimiskaming,Ontario,Timiskaming,2020-12-10 18:07:19.822130,2020-12-10 00:00:00.000000,0:31:22.998046,0.14106587,0.18930328,0.53477482,47,63,178,0.05644141,0.11837073,1.24117142,0.02026571,0.07152155,2.83973674
3565,CanadaOntarioWaterloo,Ontario,Waterloo,2020-12-10 18:43:55.301211,2020-12-10 00:00:00.000000,1:07:55.721717,0.58589301,0.99061314,1.96073025,3346,5658,11200,0.44092193,0.98803668,1.94917771,0.31720420,0.92364891,1.99699306
3566,CanadaOntarioWellingtonDufferinGuelph,Ontario,Wellington Dufferin Guelph,2020-12-10 18:51:16.058912,2020-12-10 00:00:00.000000,1:15:20.327106,1.08441154,2.03078557,3.80170133,3298,6177,11564,1.04388063,2.35823194,4.95315345,0.95131507,2.66987389,7.15599309
3568,CanadaOntarioWindsor-Essex,Ontario,Windsor-Essex,2020-12-10 18:57:48.568394,2020-12-10 00:00:00.000000,1:21:53.658264,1.42345716,2.20953748,4.78713717,4965,7707,16699,2.05479530,3.27226565,7.46414667,2.26876640,4.76695850,11.57464472
3570,CanadaOntarioYork,Ontario,York,2020-12-10 19:02:12.989725,2020-12-10 00:00:00.000000,1:26:14.011101,0.76988848,1.23421848,2.19663732,9244,14820,26376,0.74274801,1.30705391,2.50958057,0.65547924,1.41389055,3.36410019
1100,CanadaPEIPrinceEdwardIsland,PEI,Prince Edward Island,2020-12-10 18:06:05.667276,2020-12-10 00:00:00.000000,0:30:10.987443,0.02527428,0.04048790,0.06842803,34,55,92,0.00851687,0.01827987,0.06306003,0.00257879,0.00742953,0.05821347
2403,CanadaQuebecCapitale-Nationale,Quebec,Capitale-Nationale,2020-12-10 18:47:09.991887,2020-12-10 00:00:00.000000,1:11:13.702747,1.44415145,2.55028655,4.22401036,10118,17869,29596,1.56530197,3.33306169,5.69413424,1.65440746,4.13862219,7.97454263
2412,CanadaQuebecChaudière-Appalaches,Quebec,Chaudière-Appalaches,2020-12-10 18:42:23.943359,2020-12-10 00:00:00.000000,1:06:30.577844,1.09004394,2.05514262,3.48759679,4632,8734,14822,0.97692793,2.13048622,4.19727010,0.82929367,2.26452918,5.22479431
